unique_id,normalization
work:W.0356,Filosofía Médica De Lafon
work:W.0357,Foglio Economico
work:W.0358,Folle Sageße
work:W.0359,Free-thinker
work:W.0360,Funerailles
work:W.0361,Gaceta De Madrid
work:W.0362,Galatea
work:W.0363,Gasconniana
work:W.0364,Gazeta
work:W.0365,"Gazeta De Comercio, Literatura Y Politica De Bayona De Francia"
work:W.0366,Gazeta De Goatemala
work:W.0367,Gazeta Española
work:W.0368,Gazette
work:W.0369,Gazette De Paris
work:W.0370,Gazette Des Mœurs
work:W.0371,Gazette Rimée D’amsterdam
work:W.0372,Gazzetta
work:W.0373,Gazzetta Economica
work:W.0374,Gazzetta Veneta
work:W.0375,Genesis
work:W.0376,George Dandin Oder Der Beschämte Ehemann
work:W.0377,Georgica
work:W.0378,Georgiche
work:W.0379,Germania
work:W.0380,Gerusalemme Liberata
work:W.0381,Gesänge Des Ossian
work:W.0382,Gioanna Shore
work:W.0383,Giocondi Uomini Toscani
work:W.0384,Giorgio Dandino
work:W.0385,Gli Errori Del Voltaire
work:W.0386,Gli Uccelli
work:W.0387,Gongam
work:W.0388,Gordon Grammatica Geografica
work:W.0389,Gorgias
work:W.0390,Gottfried Von Bulljon
work:W.0391,Gov. Della Fan.
work:W.0392,Gressier Solaire
work:W.0393,Guerre De Catilina
work:W.0394,Guerre Jugurthine
work:W.0395,Guide Du Pelerin
work:W.0396,Gulliver's Travels
work:W.0397,Gustavus Vasa
work:W.0398,Hamlet
work:W.0399,"Hans Beer-pot, His Invisible Comedy Of See Me, And See Me Not"
work:W.0400,Hecyra
work:W.0401,Henri Et Perrine
work:W.0402,Henri Viii
work:W.0403,Herodot
work:W.0404,Heroides
work:W.0405,Hippolyt
work:W.0406,His. Nat.
work:W.0407,Hist. De La Guerre Des Juifs Contre Les Romains
work:W.0408,Histoire Amoureuse Des Gaules
work:W.0409,Histoire De Carthage
work:W.0410,Histoire De Crête
work:W.0411,Histoire De Juan De Portugal Fils De D. Pedre Et D'ines De Castro
work:W.0412,Histoire De L'académie Française
work:W.0413,Histoire De La Princesse De Gonsague
work:W.0414,Histoire De La Societé Royale
