Titel,Replacement,Typ,Anzahl
Les Vaporeux : livre à l’usage des Cavaliers ennuïeux & des Dames ennuiées,,,1
"Les Vertus du Camphre, avec des Avis pour faire du Thé camphré",,,1
Les Visions de Mirza,,,1
Les agrémens du langage reduis à leurs principes,,,1
Les bons Mots de Charles II,,,1
Les delices de Dannemarc,,,1
Les ennuisdu <sic> Carnaval,,,2
Les suppositions,,,1
Lettera riguardante il Lusso,,,1
Lettere de’morti a’vivi,,,1
Lettere di Sofronia,,,1
Lettre sur les Anglois,,,1
Lettres,,,1
Lettres Athéniennes,,,1
Lettres Diverses du Comte de * * *,,,1
Lettres Galant. du Chev. d’Her,,,1
Lettres Galantes & Philosophiques,,,1
Lettres Judaїques,,,1
Lettres Pastorales de l’Evèque de Londres,,,1
Lettres Persanes,Lettres Persannes,,3
Lettres Persannes,Lettres Persannes,,2
Lettres Provinciales,,,1
"Lettres de Mme. de
                                Sévigni",,,1
Lettres du Chevalier d’Her,,,1
Lettres galantes de Mademoiselle * * *,,,1
Levitico,,,3
Leçons de la Sagesse,,,1
Lib.,,,1
Lib. 1. Ep.,,,1
Liberté de penser,,,1
"Libro de
                                    Isaías",,,1
Libro d’Oro,,,1
Libros Sapienciales,,,1
"Livre
                                        des Bons Mots",,,1
"Los
dos Presos",,,1
Los Menestrales,,,1
Lugareña,,,2
Lugareña orgullosa,,,1
Luisiana,,,1
Lumi,,,1
Lunes,,,1
Lutrin,,,4
"Lux
                                                Orientalis",,,1
Luziade,,,1
Lysis,,,1
L’Art de penser,,,1
L’Arte del Tacere,,,1
L’Atalia,,,1
L’Avare,,,1
"L’Epouse
                                Campagnarde",,,1
L’Epouse en Deüil,,,2
L’Esprit des Loix,L’Esprit des Loix,,2
L’Esprit des loix,L’Esprit des Loix,,1
L’Innocenza Vendicata,,,1
"L’Ordre profond & l’Ordre mince, considérés par rapport aux effets de l’Artillerie. Réponse de l’Auteur de l’Artillerie nouvelle, à MM. de Mesnil, Durand & de Maizeroy",,,1
"L’abregé d’ l’
education",,,1
L’amore di Dio,,,1
"L’autre jour
                                Colin malade, &c",,,1
L’héritier douteux,,,1
L’innocent Adultere,,,1
L’ode à la Fortune,,,1
M.,,,1
MEDEA a GIASONE,,,1
Macabées,,,1
Macbeth,Macbeth,,2
Machabées,,,1
Makbeth,Macbeth,,1
"Maniére
                                de bien penser",,,1
Manni,,,1
Manolo,,,1
Maometto,,,1
Mariages Persans,,,1
Mariamne,Marianne,,4
Mariane,Marianne,,1
Marianne,Marianne,,3
Marot,,,2
"Marte, e Amore",,,1
Marzocco,,,1
Massime Cinesi,,,1
Maximes,,,3
Medicina Gymnastica,,,1
Medico a suo dispetto,,,1
Memorab.,,,1
Memorial,,,4
"Memorial
literario",Memorial Literario,,1
Memorial Literario,Memorial Literario,,1
Memorial literario,Memorial Literario,,6
Memorias Destructivas,,,1
Menagiana,,,1
Mentor Moderne,,,2
Mercante di Venezia,,,1
Mercure,,,8
Mercure Athenien,,,1
Mercure Galant,Mercure Galant,,1
Mercure de France,Mercure de France,,1
Mercure galant,Mercure Galant,,1
Mercures Galans,Mercure Galant,,1
Mercurio Peruano,,,1
Mercurio de España,,,1
Mercurio de Francia,Mercure de France,,1
Met.,,,4
Metamorfosi,Metamorfosi,,1
Metodo,,,1
Mezenzio,,,1
Mille & une Nuit,,,1
Minuetto,,,1
Misantrope,Misantrope,,29
Misantropes,Misantrope,,3
Misantropo,Misantrope,,1
Misantropía,Misantrope,,2
"Misantropía y el
Arrepentimiento",Misantropía y el Arrepentimiento,,1
Misantropía y el Arrepentimiento,Misantropía y el Arrepentimiento,,1
Mithridate,,,2
Mogli di Vindsor,,,1
Monde,Monde,,2
Monde comme il,Monde,,1
Monde comme il est,Monde,,3
Mondes,Monde,,1
Mondo Morale,,,3
Mondo ben perduto,,,1
Moreto,,,1
Morgante,,,1
Moribus antiquis,,,1
Morta di Cesare,,,1
Morte d’Abelle,,,2
Morte d’Adamo,,,1
Most.,,,1
Moza de Cántaro,,,1
Muerte de Abel,,,1
Muger zelosa,,,1
Mysantrope,Misantrope,,1
Méchant,,,1
Médée,,,1
Mémoires de Mme. du Noyer,,,1
Mémoires de la Baronne de Saint-Clair,,,1
Mémoires du Comte de Grammont,,,1
"Mémoires pour servir à l’Histoire de la Vertu, extraits du Journal d’une jeune Dame",,,1
Ménagiana,,,1
Métamorphoses,Metamorfosi,,1
Métromanie,,,1
Música,,,1
Nanine,,,1
Navigazione d’Enea,,,1
Nelle carte de’miei confratelli Pellegrini,,,1
Newtonianisme des Dames,,,1
Nitetis,,,2
No. 49,,,1
Notte Critica,Notte Critica,,2
Notte critica,Notte Critica,,2
Notte critica per introduzione alle Recite Autunnali dell’anno 1760.,Notte Critica,,1
"Nouv. De la
                                        Républ. des Lettres",,,1
Nouveau Diogène,,,1
Nouveau Spectateur,,,5
"Nouveau spectateur
                            françois",,,1
Nouveautez,,,1
Nouveautez dediées à gens de differens états depuis la Charrué jusqu’au Sceptre,,,1
Nouveaux Essais de Morale,,,3
Nouvelle Atlantis,,,1
Nouvelles de l’Atlantide,,,1
"Nouvelles d’Antoine-François Grazzini, dit le Lasca",,,1
Novella Orientale.,,,1
Novelle Morali,,,2
Nozze di Dorina,,,1
Nuovo Segreto,Nuovo Segreto,,6
Nuovo Segreto per,Nuovo Segreto,,1
Nuovo Testamento,,,1
Nuovo segreto,,,2
O Imitatores,,,1
"Observations sur la société, et sur les moyens de ramener l’ordre et la sécurité dans son sein",,,1
Od,,,1
Od.,,,5
Ode,,,2
"Ode au Créateur de l’Univers, à l’occasion des Fragmens
                                    d’Orpheé.",,,1
Ode du Jubilé,,,1
Ode sur la Prise de Namur,,,1
Odes Anacréontiques,,,1
Odes Pindariques,,,1
Odes sacrées,,,1
Odes à la glace,,,1
Odissea,Odissea,,5
"Odissea, X.",Odissea,,1
Odissée,Odissea,,1
Odyssée,Odissea,,3
