Name in XML,Replacement,Typ
India,Indien,Land
Indias,Indien,Land
Indias Orientales,Indien,Land
Indie,Indien,Land
Indie orientali,Indien,Land
Ingerstras,,
Inghiltera,England,Land
Inghilterra,England,Land
Inghilterra ,England,Land
Inglaterra,England,Land
Invalides,,
Ippocrene,,
Irlanda,Irland,Land
Irlande,Irland,Land
Islanda,Island,Land
Islande,Island,Land
Islington,,
Isola di Capri,,Insel
Isola di Tavolara,,Insel
Isole Canarie,,Insel
Ispagna,Spanien,Land
Israel,Israel,Land
Israele,Israel,Land
Israél,Israel,Land
Israël,Israel,Land
Issé,,
Istria,,
Itaca,,
Italia,Italien,Land
Italie,Italien,Land
Ivry,,
Jagersbourg,Jägersburg,Region
Japan,Japan,Land
Japon,Japon,
"Japon
                            ",Japon,
Jardin du Palais Royal,,
Javalí,,
Jena,,Stadt
Jerico,Jericho,Stadt
Jerusalem,Jerusalem,Stadt
Jerusalen,Jerusalem,Stadt
Jombouctou,,
Jomsbourg,,
Jouy,,
Jsrael,Israel,Land
Jtalien,Italien,Land
Jura,,
Jutland,Jütland,Insel
Jutlande,Jütland,Insel
Jægersbourg,Jägersburg,Region
Jérusalem,Jerusalem,Stadt
Kadgerì,,
Kensington,,
Kent,,Region
Killingworth,,
Knights-bridge,,
Komka,,
Kowolon,,
"La
                                Haye",La Haye,
La Haye,La Haye,
Lacedemoni,Lakedaimon,Region
Lacio,,
Lacédémone,Lakedaimon,Region
Lago Trasimeno,,See
Lambeth,,
Lancaster,,
Languedoc,,
Laon,,
Laponia,Laponia,
Laponie,Laponia,
Laterina,,
Laurento,,
Laußnitz,,
Lavinia,Lavinia,
Lavinio,Lavinia,
Laxemburgo,Laxemburg,
Lazio,,
Leadenhall Street,,Straße
Lebanon,Libanon,Land
Legnago,,
Leicester-fields,,
Leida,Leiden,Stadt
Leide,Leiden,Stadt
Leipsic,Leipzig,Stadt
Leipzig,Leipzig,Stadt
Lenno,,
Levant,Levante,Region
Levante,Levante,Region
Leyde,Leiden,Stadt
Leyde ,Leiden,Stadt
Leyden,Leiden,Stadt
Liban,Libanon,Land
Libano,Libanon,Land
Libia,Libyen,Land
Libye,Libyen,Land
Lichtenstein,Liechtenstein,Land
Lidia,,
Lido,,
Liege,Liége,
Liegnitz,,
Lignon,,
Lima,,
Linchtenstein,Liechtenstein,Land
Lincoln,,
Lincolns-inn,,
Linguadocca,,
Lisbona,Lissabon,Stadt
Lisbonne,Lissabon,Stadt
Lisieux,,
Litchfield,,
Lithuanie,Litauen,Land
Liverpool,,Stadt
Livonie,,
Livorno,Livorno,
Livourne,Livorno,
Liége,Liége,
Lodeve,Lodeve,
Lodève,Lodeve,
Logroño,,
Loire,,
Londen,London,Stadt
Londra,London,Stadt
Londra ,London,Stadt
Londres,London,Stadt
Long-Acre,Long-Acre,
Long-acre,Long-Acre,
Lorraine,,
Los Reyes,,
Losanna,Lausanne,Stadt
Louisiane,Louisiane,
Louvre,,
Loüisiane,Louisiane,
Lubec,,
Lucano,,
Lucca,,
Lunebourg,,
Lunneville,,
Luxembourg,,
Lybia,Libyen,Land
Lybie,Libyen,Land
Lydie,,
Lyon,,Stadt
Léon,,
Lépante,,
Lóndres,,
Macedoine,Mazedonien,Land
Macedonia,Mazedonien,Land
Macedonie,Mazedonien,Land
Madera,Madeira,
Madere,Madeira,
Madrid,Madrid,Stadt
Madràs,,
Mafumo,,
Mail,,
Maine,,
Malabar,,
Malamocco,,
Malbourough,,
Malines,,
Malplaquet,,
Malta,Malta,Insel
Malte,Malta,Insel
Mamré,,
Mancha,Mancha,Region
Mangalor,,
Mantoue,,
Mantova,,
Mantovano,,
Manvedge,,
Mar pacifico,Pazifik,Meer
Marais,,
Marca,,
Marcaria,,
Mare pacifico,Pazifik,Meer
Maremma,Maremma,
Maremme,Maremma,
Marli,,
Marly,,
Maroco,Marokko,Land
Marseille,Marseille,Stadt
Marsella,Marseille,Stadt
Marsiglia,Marseille,Stadt
Martinique,,
Mary le bon,,
Marybone,,
Mastricht,Mastricht,Stadt
Maubeuge,,
Mauritanie,,
Maurizio,,
Mausejour,Mausejour,
Mauséjour,Mausejour,
Mayence,,
Maynz,Mainz,Stadt
Maëstricht,Mastricht,Stadt
Meaux,,
Mecca,Mekka,Stadt
Mecque,Mekka,Stadt
Megara,,
Meklembourg,Mecklenburg,Stadt
Menin,,
Mer Baltique,Baltisches Meer,Meer
Messico,Mexiko,Land
Mestre,,
Mets,Metz,
Metz,Metz,
Meudon,,
Mexico,Mexiko,Land
Mexique,Mexiko,Land
Micene,,
Middelbourg,,
Middlesex,Middlesex,
Midi,,
Midlesex,Middlesex,
Milan,Mailand,Stadt
Milano,Mailand,Stadt
Milinais,,
Mishpach,,
Modera,,
Moen,Moen,
Mogol,,
Moldavie,Moldavien,
Molinar,,
Moluques,,
Monbéliard,,
Monfaucon,,
Monne,,
Monreal,,
Mons,,
"Mont
                                    Tirzah",Mont Tirzah,Berg
Mont Ida,Mont Ida,Berg
Mont Tirzah,Mont Tirzah,Berg
Mont-Athos,,Berg
Montagnana,,
Montauban,,
Monte Santo,,
Montemagno,,
Montenero,,
Monterotondo,,
Montesanto,,
Montesquieu,,
Montmorenci,,
Montpelier,Montpelier,
Montpellier,Montpelier,
Moorfields,,
Morgate,,
Moscou,Moskau,Stadt
Moscovie,Moskau,Stadt
Moskow,Moskau,Stadt
Motta,,
Mozambico,,
Murano,,Insel
Murcia,,
Murignan,,
Mytilene,,
Málaga,,
México,Mexiko,Land
Möen,Moen,
München,München,Stadt
Namur,,
Nancaveri,,
Nancy,,
Nantes,,
Naples,Neapel,Stadt
Napoli,Neapel,Stadt
Navarra,Navarra,
Navarre,Navarra,
NeWcastle,Newcastle,
Nesle-la-Reposte,,
Neu Mexico,,Region
Neva,,
Newcastle,Newcastle,
Newington,,
Newmarcket,,
Newton,,
Newton St.Loe,,
Nicobar,,
Nicolai-Straasse,,Straße
Nil,,Fluss
Nimes,,
Nimègue,Nimégue,
Nimégue,Nimégue,
Ninive,,
Nismes,,
Nord-Hollande,,Region
Nordkoping,,
Nordlichen America,,Region
Norfolk,,
Normandia,Normandie,Region
Normandie,Normandie,Region
Northamton,,
Norvegia,Norwegen,Land
Norvège,Norwegen,Land
Norvége,Norwegen,Land
Norvégue,Norwegen,Land
Norwich,,Stadt
Norwège,Norwegen,Land
Norwége,Norwegen,Land
Numide,Numide,
Numidie,Numide,
Nuova-Scozia,,
Ober=Sachsen,,Region
Oceano,,
Oceano atlantico,Atlantik,Meer
Odensé,Odense,Stadt
Olanda,Holland,Region
Olimpo,Olymp,Berg
Ollanda,Holland,Region
Olonne,,
Olympe,Olymp,Berg
Olynthe,,
Orange,,
Oriago,,
Orient,Orient,Region
Oriente,Orient,Region
Orleans,Orleans,Stadt
Orléans,Orleans,Stadt
Ostende,,
Osterstras,,
Ostfrise,,
Ostro-Gothie,,
Otaiti,,
Oudenarde,,
Ouestminster,Westminster Abbey,Gebäude
Ouville,,
Oxford,,Stadt
Paddington,,Stadt
Padova,Padua,
Padoüe,Padua,
Palais Royal,Palais Royal,
Palais de St. James,,
Palais-Royal,Palais Royal,
Palatin,,
Palatinat,,
Palazzo vecchio,,Gebäude
Palestina,Palestina,Region
Palestine,Palestina,Region
Pall Mall,Pall Mall,
Pall-Mall,Pall Mall,
Palmire,,
Panigai,,
Pankridge,,
Pantin,,
Paphos,3,
Paraguay,,
"Parc de St.
                                    James",Parc de St. James,
Parc de St. James,Parc de St. James,
Parigi,Paris,Stadt
Paris,Paris,Stadt
Paris ,Paris,Stadt
Parma,Parma,Stadt
Parme,Parma,Stadt
Parmes,1,
Parnaso,Parnasso,
Parnasse,Parnasso,
Parnasso,Parnasso,
Paros,1,
Parson’s Green,1,
Parìs,Paris,Stadt
París,Paris,Stadt
Pasíbula,,
Pausania,,
Pavia,Pavia,
Pavie,Pavia,
Pays-Bas,Païs-Bas,
Países Bajos,Païs-Bas,
"Païs de
                                    Galles",Païs de Galles,
Païs de Galles,Païs de Galles,
Païs-Bas,Païs-Bas,
Païs-bas,Païs-Bas,
Pe-King,Peking,Stadt
Pegli,,
Peninsula,Peninsula,
Península,Peninsula,
Pera,,
Perasto,,
Pergamo,,
Permesse,,
Perou,Peru,Land
Perpignan,,
Perse,Persien,Region
Persia,Persien,Region
Perù,Peru,Land
Pesaro,,
Petersbourg,Petersburg,Stadt
Petersburg,Petersburg,Stadt
Petervaradino,,
Petites-Maisons,,
Pharsale,,
Phrygie,,
Piacenza,,
Pianura,,
Piave,,
Piazza di S. Marco,,
Picardia,,
Piemonte,,
Pinde,,
Pindo,,
Piramides de Menfis,,
Pisa,,
Place de Vendôme,,
Po,,Fluss
Pologne,,
Pompejus,Pompej,
Pompeo,Pompej,
Pompée,Pompej,
Pont-neuf,,Gebäude
Ponte di Rialto,Ponte di Rialto,Gebäude
Ponto,,
Porto Nuovo,,
Portogallo,Portugal,Land
Portugal,Portugal,Land
Posilippo,,
Potosi,,
Poveglia,,
Prado,,
Praga,,
Praia,,
Preneste,,
Principauté de Galles,,
Protugal,Portugal,Land
Provence,Provence,Region
Provenza,Provence,Region
Provinces-Unies,,
Prusia,Preussen,Region
Prusse,Preussen,Region
Prussia,Preussen,Region
Prémont,,
Puglia,,
Pulgosa,,
Putney,,
Péquin,,
Pérou,Peru,Land
Pétersbourg,Petersburg,Stadt
Pétesbourg,Petersburg,Stadt
Quai des Augustins,,
Quirinal,,
Quito,,
Ranelagh,Ranelaugh,
Ranelaugh,Ranelaugh,
Ravenna,,Stadt
Red Lyon Squara,,
Remicour,,
Remorantin,,
Rennes,,
Reno,,
Repubblica Romana,Repubblica Romana,
Rerone,,
Retz,,
"Reyno de
                                Galicia",Reyno de Galicia,
Reyno de Galicia,Reyno de Galicia,
Rheims,,
Rheno,,
Rhin,Rhein,Fluss
Rhodes,,
Richemond,Richmond,
Richmond,Richmond,
"Rio
                                Lavacolla",,
Rio Ianeiro,,
Rioja,,
Riva degli Schiavoni,,
Rochefort,,
Rochelle,Rochelle,
Rochester,,
Rocroi,Rocroy,
Rocroy,Rocroy,
Rodi,,
Rom,Rom,Stadt
Roma,Rom,Stadt
Romana,,
Rome,Rom,Stadt
Rome ,Rom,Stadt
Romsdalem,,
Ronda,,
Rosenbourg,,
Rostoc,Rostock,Stadt
Rostock,Rostock,Stadt
Rostok,Rostock,Stadt
Roterdam,Rotterdam,Stadt
Rotterdam,Rotterdam,Stadt
Rouen,,
Roveredo,,
Rovigno,,
Rovigo,,
Ruckholt,,
Rue Friday,,
Rue de St. James,,Straße
Rue des Boucheries-Richelieu,,Straße
Rusia,Russland,Land
Russia,Russland,Land
Russie,Russland,Land
Rußland,Russland,Land
Ruë d’Anne,,Straße
"République
                                d’Athénes",,
République Romaine,Repubblica Romana,
République de Rome,Repubblica Romana,
S .Barthelemi,S .Barthelemi,
S. Antioco,,
S. Barthelemi,S .Barthelemi,
S. Biagio,S. Biagio,
S. Biagio alla Giudecca,S. Biagio,
S. Clavio,,
S. Denis,S. Denis,
S. Domingo,S. Domingo,
S. Giovanni in Bragora,,
S. Giuliano,S. Giuliano,
S. Michele,,
S. Paternian,S. Paternian,
S. Paterniano,S. Paternian,
S. Roch,,
S. Stefano,,
Sadlers-Wells,,
Saint Germain,Saint Germain,Stadt
Saint-Barthelemi,S .Barthelemi,
Saint-Cloud,,
Saint-Denys,S. Denis,
Saint-Domingue,S. Domingo,Land
Saint-Germain,Saint Germain,Stadt
Saint-Pétersbourg,Petersburg,Stadt
Saint-Quentin,,
Sainte-Sophie,Sainte-Sophie,
Saintes-Maries,,
Salency,,
Salisbury,,
Salonicchio,,
Samo,,
Samos,,
San Barnaba,San Barnaba,
San Barnaba.,San Barnaba,
San Basilio,,
San Benedetto,,
San Bortolamio,San Bortolamio,
San Bortolamio Calle della Biffa,San Bortolamio,
San Fantino,,
San Giovanni Laterano,,
San Giuliano,S. Giuliano,
San Isidro,,
San Lorenzo,,
San Marco,,
San Paterniano,S. Paternian,
San Pietro di Castello,,
San Polo,,
San Trovaso,,
Santa Maria degli Angioli,,
Santa Marina,,
Santa Sofia,Sainte-Sophie,
Santa-Caza,,
Santander,,
Santiago,,
Sant’Andrea,,
Sardaigne,Sardinien,Insel
Sardegna,Sardinien,Insel
Sardes,,
Sardis,,
Sassonia,Sachsen,Region
Savannah,,
Saveuse,,
Savoie,Savoie,
Savoïe,Savoie,
Saxe,Sachsen,Region
Saxonia inferior,,
Scamandro,,
Scanie,,
Scarborough,,
Scardona,,
Sceaux,,
Schweitz,Schweiz,Land
Scozia,,
Sebenico,,
Segovia,,
Seine,,
Sel,,
Sennar,,
Sepolcro,,
Sers,,
Sevilla,Sevilla,Stadt
Seville,Sevilla,Stadt
Sevilly,Sevilla,Stadt
Shorham,Shorham,
