Titel,Replacement,
La fête de la cinquantaine,,1
La gazette d’Hollande.,,1
La lugareña orgullosa. Comedia original en tres actos,,1
"La mogigata: comedia en tres actos, en verso",,1
"La morale chrétienne abrégée, et réduite à ses principaux devoirs.",,4
La mort de César.,,1
La morte d’Adamo,,1
La moza de cántaro,,1
"La muerte de Abel, tragedia en dos actos y en verso",,1
La nouvelle Encyclopédie.,,1
La religion chrétienne prouvée par les faits.,,1
La tragédie de Sémiramis.,,1
Laelius über die Freundschaft,,1
Le Bourru bienfaisant,,1
Le Censeur ou Caractères des Mœurs de la Haye,Le Censeur ou Caractères des Mœurs de la Haye,2
"Le Chef-d’Oeuvre d’un Inconnu, par le Dr. Mathanasius",,1
Le Cid,,5
Le Cid.,,3
Le Comédien.,,1
Le Devin du Village,,1
"Le Doyen de Killerine, histoire morale composée sur les Mémoires d’une illustre famille d’Irlande.",,1
"Le Fils naturel, ou Les épreuves de la vertu",,1
"Le Français à Londres, comédie en un acte et en prose",,1
Le Gardien,,1
Le Gouvernement de la Langue,,1
Le Joueur,,2
Le Journal Encyclopédique,,1
Le Journal des Sçavans.,,1
Le Jubilé,,3
Le Lutrin,,4
Le Lutrin.,,1
Le Mentor Moderne,Le Mentor moderne,3
Le Mentor Moderne.,Le Mentor moderne,1
Le Mentor moderne,Le Mentor moderne,1
Le Mercure,,1
Le Mercure de France,,1
Le Mercure galant,,1
Le Miroir,,1
Le Misanthrope ou l’Atrabilaire amoureux,Le Misantrope,1
Le Misantrope,Le Misantrope,18
Le Mistantrope,Le Misantrope,1
Le Monde comme il,Le Monde comme il est (Bastide),1
Le Monde comme il est,Le Monde comme il est (Bastide),12
Le Nouveau Spectateur,Le Nouveau Spectateur (Bastide),4
Le Nouveau Spectateur François,Le Nouveau Spectateur français,1
Le Parfait Ambassadeur,,1
"Le Philosophe anglais, ou Histoire de Monsieur Cleveland, fils naturel de Cromwell.",,1
Le Père de Famille,,1
Le Renard et le Buste,,1
Le Siècle de Louis XIV.,,1
"Le Sopha, conte moral",,1
Le Spectacle de la Nature.,,1
Le Spectateur,,5
Le Spectateur Français,Le Spectateur français (Marivaux),7
Le Spectateur Français.,Le Spectateur français (Marivaux),2
Le Spectateur François ou Journal des moeurs,Le Spectateur français ou Journal des Mœurs,1
Le Spectateur François ou le Nouveau Socrate Moderne.,Le Spectateur français ou le Nouveau Socrate moderne,1
Le Spectateur François pour servir de suite à celui de M. de Marivaux.,Le Spectateur français (Marivaux),1
Le Spectateur François.,Le Spectateur français (Marivaux),1
Le Spectateur français,Le Spectateur français (Marivaux),1
Le Spectateur français ou le Socrate moderne,Le Spectateur français ou le Nouveau Socrate moderne,1
"Le Spectateur, ou le Socrate moderne",Le Spectateur français ou le Nouveau Socrate moderne,1
Le XIL. Misantrope,Le Misantrope,1
Le XLV. Misantrope,Le Misantrope,1
Le XLVII. Misantrope,Le Misantrope,1
Le carnaval du Parnasse.,,1
"Le droit public de l’Europe, fondé sur les traités.",,1
Le fragment de Tite-Live,,1
Le miroir du Gouvernement,,1
Le médecin malgré lui,,1
Le nouveau Spectateur,Le Nouveau Spectateur (Bastide),3
"Le parfait Capitaine, autrement l’« abregé » des commentaires de César.",,1
Le sorcier,,1
Le vrai Moïen de vivre plus de cent ans dans une santé parfaite,,1
"Leg. 14, Cod. de Adv.",,1
Leggío~i,,1
Lehrbuch der Redekunst,,1
Les Amours de Cassandre,,1
"Les Annales patriotiques et littéraires de la France, et affaires politiques de l'Europe. Journal libre par une Société des Écrivains Patriotes.",,1
"Les Annales patriotiques et littéraires de la France, et affaires politiques de l’Europe. Journal libre par une Société d’Écrivains Patriotes.",,2
Les Aventures de Telemaque.,,1
Les Aventures de Télémaque.,,4
Les Aventures du Télémaque.,,1
Les Bijoux indiscrets.,,1
Les Caracteres,,1
Les Caractères ou les Mœurs de ce siècle.,,1
Les Charmes de la Solitude.,,1
Les Chiffons,Les Chiffons,4
Les Chiffons.,Les Chiffons,5
Les Commentaires Royaux de Pérou,,1
Les Confessions,,1
Les Confessions d’un Fat,,1
"Les Coups de patte du Frère Nicolas, par M. L. B. D. B. Première Estafilade.",,1
Les Dialogues à l’imitation de Lucien par M. * * *,,1
"Les Délices du Danemark enrichis de cartes géographiques et de vues perspectives très exactes des villes, châteaux etc.",,3
Les Essais.,,1
Les Facheux,,1
Les Femmes savantes,,1
Les Francs-Maçons écrasés.,,2
Les Fácheux,,1
Les Fêtes vénitiennes.,,1
Les Grâces,,1
Les Génies assistans & les Gnômes irréconciliables,,1
Les Indes galantes.,,1
Les Liaisons dangereuses,,1
Les Lunes du Cousin Jacques,,1
Les Moyens de prévenir la ruine des Chrétiens,,2
Les Pensées,,1
Les Plaintes des Protestans,,2
Les Plaintes des protestants cruellement opprimés dans le royaume de France,,1
Les Plaisirs innocens de la Vie Rustique,,2
Les Poëtes Modernes,,1
Les Prophetes Modernes,,2
Les Précieuses Ridicules,,1
Les Précieuses ridicules,,1
Les Travaux de L´Institut national,,1
